,n_factors,n_epochs,lr_all,cv_rmse,cv_rmse_sd,rank_test_rmse,cv_mae,std_test_mae,mean_fit_time
0,50,20,0.005,0.9502230598981622,0.000229155328216,1,0.7505191241374399,0.0014118409794396,0.2577172915140788
1,50,40,0.002,0.9512052613107108,0.0002410425183716,2,0.7519585782065336,0.0010029865062265,0.4969997406005859
2,100,20,0.005,0.9534441483507872,0.0002030622843068,3,0.7535723624754596,0.0015191970873894,0.4714795748392741
3,100,40,0.002,0.9543315055863943,0.0001799182631587,4,0.7548730075155342,0.0013092371958497,0.911299467086792
4,50,20,0.002,0.9582029372256544,0.0011231731066602,5,0.7597357281915554,0.0001740158780391,0.2800540129343669
5,100,20,0.002,0.9614157937604556,0.0008433377500738,6,0.7624244821011902,0.0002919209664973,0.432289441426595
6,50,40,0.005,0.9694514969177828,0.0007046541484207,7,0.7610171765864765,0.0007938746431593,0.510108470916748
7,100,40,0.005,0.9702442641735186,0.00058195576432,8,0.7646484420940977,0.0011924364933749,0.8718652725219727
