,Test RMSE,Test MAE,Training RMSE,Train-to-test gap
Bias-only baseline,0.9500460954576447,0.7516333496440277,0.9214743861411633,0.028571709316481453
Untuned SVD,0.9411674430191296,0.7413493413414417,0.68444231813325,0.2567251248858796
Tuned SVD,0.9213337532303719,0.7290628580040158,0.7905386206001471,0.1307951326302248
