,Untuned SVD,Tuned SVD,n
11-59,0.9873586043536993,0.9646038658500529,4076
60-115,0.9523024739536071,0.9311289356129787,3958
116-171,0.925754715998802,0.9036726800629051,3969
172-243,0.9139631784741512,0.896136049789852,4087
244-603,0.9238783892304256,0.9088485878475828,3910
