,Untuned SVD,Tuned SVD,n
0-48,1.0055829985773146,0.9819910758044786,4055
49-93,0.9332443719278651,0.9130970060351554,3990
94-137,0.9167942846625198,0.9025239104176719,3994
138-208,0.9025887837285415,0.8813305921836544,3985
209-477,0.9431791833059971,0.923586282359742,3976
