,n_factors,n_epochs,lr_all,reg_all,cv_rmse,cv_rmse_sd,rank_test_rmse,cv_mae,std_test_mae,mean_fit_time
0,200,80,0.01,0.15,0.9294087585759812,0.0003191619328351,1,0.736850394189581,0.0007815711614857,5.555819749832153
1,150,80,0.01,0.15,0.9295216295766554,7.799304946593547e-05,2,0.7368440472108649,0.0006516010104684,3.983319123586019
2,100,80,0.01,0.15,0.9296631074500192,0.0001733292173051,3,0.7369739182869649,0.0007743454557124,2.506086190541585
