model,rmse,mae,cv_rmse_mean,cv_rmse_sd,mean_signed_error,fit_seconds
normal_predictor,1.520942808540291,1.2190680493779458,,,-0.0294005046601029,0.07134599995333701
baseline_only,0.9500460954576447,0.7516333496440278,0.9470925789339122,0.0037141059828362305,0.022614255729377176,0.12595829996280372
knn_item,0.9808210644915085,0.7737714427960318,0.9871805121490518,0.005613329464788582,0.02706732791344474,0.4521777000045404
svd,0.9411674430191296,0.7413493413414417,0.944957245009331,0.0041249419866986594,0.020724466003422072,0.8397534999530762
svd_tuned,0.9213337532303719,0.7290628580040158,0.9225638926828443,0.004590921347299052,0.017600883156390495,6.172728799981996
