activity_quartile,gender,rmse,n_test_ratings,n_users
Q1 (lightest),F,1.0169356819905806,1424,177
Q1 (lightest),M,0.9311890255280453,3649,395
Q2,F,1.010090290861171,1461,55
Q2,M,0.8848341088282733,3488,132
Q3,F,0.91317297529734,1376,31
Q3,M,0.8797282498279113,3712,86
Q4 (heaviest),F,0.9481485029124826,869,10
Q4 (heaviest),M,0.9083111280687606,4021,56
