model,split,n_train,n_test,rmse,mae,mean_signed_error,n_impossible,fit_seconds,test_seconds,seed,surprise_version,timestamp_utc,cv_folds,cv_rmse_mean,cv_rmse_sd,cv_mae_mean,params
normal_predictor,random,80000,20000,1.520942808540291,1.2190680493779458,-0.0294005046601029,0,0.07134599995333701,0.0921807000413537,42,1.1.5,2026-09-24T01:32:03.623432+00:00,,,,,
baseline_only,random,80000,20000,0.9500460954576447,0.7516333496440278,0.022614255729377176,0,0.12595829996280372,0.042094500036910176,42,1.1.5,2026-09-24T01:32:03.877268+00:00,5.0,0.9470925789339122,0.0037141059828362305,0.7513812653085414,
knn_item,random,80000,20000,0.9808210644915085,0.7737714427960318,0.02706732791344474,31,0.4521777000045404,2.087585399975069,42,1.1.5,2026-09-24T01:32:07.636794+00:00,5.0,0.9871805121490518,0.005613329464788582,0.7815709438644195,
svd,random,80000,20000,0.9411674430191296,0.7413493413414417,0.020724466003422072,0,0.8397534999530762,0.12104110000655055,42,1.1.5,2026-09-24T01:32:17.949998+00:00,5.0,0.944957245009331,0.0041249419866986594,0.7456993458044883,"{'n_factors': 100, 'n_epochs': 20, 'lr_bu': 0.005, 'reg_bu': 0.02}"
