model,min_support,precision_at_k,recall_at_k,distinct_items_recommended,catalog_coverage,share_of_recs_to_thin_items,mean_pairwise_list_overlap,most_recommended_item_share_of_users,median_train_ratings_of_recommended_items,items_eligible,share_of_catalog_eligible
svd_default,0,0.6192397128702861,0.28170539203488965,251,0.15193704600484262,0.001378579003181336,0.17716378858007134,0.7200424178154825,156.0,,
svd_tuned,0,0.5962347925723722,0.261447476966979,139,0.0841404358353511,0.5650053022269353,0.36011922334151747,0.9734888653234358,7.0,1652.0,1.0
svd_tuned,5,0.5971346004785495,0.2600404739676193,131,0.07929782082324455,0.21739130434782608,0.37987776557773106,0.9840933191940615,93.0,1291.0,0.7814769975786925
svd_tuned,10,0.5964475280558084,0.2594154502534236,146,0.08837772397094432,0.0,0.31839028153174703,0.8504772004241782,162.0,1093.0,0.6616222760290557
svd_tuned,20,0.5968287668924611,0.2569319254192198,133,0.08050847457627118,0.0,0.3324687079993829,0.8536585365853658,164.0,863.0,0.5223970944309927
svd_tuned,50,0.5917218515148452,0.24655489196138378,106,0.06416464891041163,0.0,0.3581220152650384,0.8610816542948038,176.0,525.0,0.3177966101694915
