parameter,value,mean_cv_rmse,min_cv_rmse,max_cv_rmse
n_factors,50.0,0.9572706888380775,0.9502230598981622,0.9694514969177828
n_factors,100.0,0.9598589279677889,0.9534441483507871,0.9702442641735186
n_epochs,20.0,0.9558214848087648,0.9502230598981622,0.9614157937604557
n_epochs,40.0,0.9613081319971016,0.9512052613107107,0.9702442641735186
lr_all,0.002,0.9562888744708038,0.9512052613107107,0.9614157937604557
lr_all,0.005,0.9608407423350627,0.9502230598981622,0.9702442641735186
