n,rmse,lo,hi,label
4076,0.9646038658500529,11,59,11-59
3958,0.9311289356129787,60,115,60-115
3969,0.9036726800629051,116,171,116-171
4087,0.896136049789852,172,243,172-243
3910,0.9088485878475828,244,603,244-603
