attribute,group,n_users,n_test_ratings,rmse,rmse_ci_low,rmse_ci_high,mae,mean_signed_error,mean_actual,mean_predicted,mean_train_ratings_per_user,rmse_minus_overall
gender,F,273,5130,0.9765194489332499,0.9427797915309304,1.0152441972143689,0.7769738875901382,0.020753049859541635,3.5083820662768033,3.529135116136345,75.49450549450549,0.05518569570287801
gender,M,669,14870,0.9015118362127801,0.8818589884080384,0.9206270614465462,0.7125340360956899,0.016513417441046487,3.5165433759246807,3.533056793365727,88.74439461883408,-0.01982191701759184
age_band,<18,36,545,0.9932188076739623,0.8922545248157945,1.1085257939685258,0.8040402232366849,0.006665483677068697,3.4440366972477063,3.450702180924775,54.05555555555556,0.07188505444359039
age_band,18-24,198,4789,0.9420336222247563,0.9084123197564096,0.9775016395287356,0.7450935656328971,0.042311684950601613,3.440593025683859,3.4829047106344606,97.32828282828282,0.020699868994384363
age_band,25-34,309,7031,0.9195747307584075,0.8932272049228853,0.9483975639250085,0.7303953508118392,-0.006477111673753108,3.487981794908263,3.4815046832345105,91.88673139158576,-0.0017590224719644665
age_band,35-44,194,3874,0.8927014905539293,0.858723927716142,0.9286997295509695,0.7051970691114081,0.010994635196946843,3.5787299948373774,3.589724630034324,81.01546391752578,-0.028632262676442588
age_band,45-55,153,2747,0.9227494681398245,0.87876096325971,0.9741058167663466,0.7221914849555703,0.04088616075869193,3.596650891882053,3.6375370526407447,69.7843137254902,0.0014157149094525812
age_band,56+,52,1014,0.8980724144085903,0.8398986970267018,0.9551934410946524,0.7136084675855942,0.03588499715624811,3.616370808678501,3.652255805834749,76.46153846153847,-0.023261338821781607
occupation,administrator,79,1531,0.9130018901736041,0.8611500308392686,0.9719282950135104,0.7227964425567667,0.010871313975589901,3.6146309601567603,3.6255022741323506,75.29113924050633,-0.008331863056767808
occupation,artist,28,449,0.993287820071259,0.9063746530649996,1.0836551026452974,0.8112450486035787,0.028301139856685222,3.5701559020044544,3.5984570418611397,66.39285714285714,0.07195406684088712
occupation,doctor,7,109,0.8164487927242454,0.7388700233009938,1.0181173235013015,0.6731684563359439,0.00390965051997086,3.7247706422018347,3.7286802927218057,61.57142857142857,-0.1048849605061265
occupation,educator,94,1907,0.9170649277170573,0.8591152103168241,0.973596364595335,0.7182837236341706,0.018937246199374577,3.6413214472994233,3.660258693498798,79.94680851063829,-0.004268825513314645
occupation,engineer,67,1608,0.858331042960385,0.8038005472992178,0.9210547215791501,0.6692558598155024,0.03605333632531202,3.5242537313432836,3.560307067668596,98.01492537313433,-0.06300271026998694
occupation,entertainment,18,430,0.9675098156202966,0.8837666856319192,1.089491818976484,0.7700976129255855,-0.052155005294189434,3.513953488372093,3.4617984830779034,92.5,0.046176062389924666
occupation,executive,32,702,0.940700909729577,0.868937851523742,1.017833808800113,0.7585576081673018,-0.006146645991132073,3.3675213675213675,3.361374721530236,84.40625,0.019367156499205063
occupation,healthcare,16,562,0.9539987332568532,0.77676173549213,1.1140576659552155,0.7522466218529608,0.10830156090457062,2.882562277580071,2.9908638384846418,140.125,0.03266498002648133
occupation,homemaker,7,66,0.9595188676201021,0.7461175968917474,1.1327670176082238,0.7635516913558126,-0.0210339526879475,3.3484848484848486,3.3274508957969005,33.285714285714285,0.03818511438973016
occupation,lawyer,12,279,0.8747304524698115,0.7379710832170554,1.0554120938898321,0.709487366497961,-0.04327583931378986,3.716845878136201,3.673570038822411,88.83333333333333,-0.04660330076056041
occupation,librarian,51,994,0.8820811621478214,0.8246226137040207,0.9415044577925984,0.7031541663097073,0.030675644426127146,3.5372233400402413,3.567898984466368,83.90196078431373,-0.039252591082550525
occupation,marketing,26,389,0.9206799643120536,0.8324167801835662,0.990248824809855,0.7348027430937949,-0.02164305365122698,3.4910025706940875,3.4693595170428604,60.03846153846154,-0.0006537889183183543
occupation,none,9,194,1.002774080541574,0.9061908078976727,1.2657704907049097,0.7792199208833287,-0.09156269773140852,3.814432989690722,3.722870291959313,78.55555555555556,0.08144032731120199
occupation,other,105,2165,0.9502055792699884,0.8973973614590882,0.9997354323989374,0.7580379074144223,0.007440137613544056,3.5607390300230946,3.568179167636639,80.93333333333334,0.028871826039616466
occupation,programmer,66,1517,0.9409799894069716,0.8684549522259581,1.0182698919643687,0.7351883167102857,0.006446803597093324,3.5543836519446277,3.5608304555417214,95.21212121212122,0.019646236176599663
occupation,retired,14,332,0.8730321534459029,0.7822216375907595,0.9978419142851835,0.6929338925844339,0.10836555711911602,3.4036144578313254,3.511980014950441,91.21428571428571,-0.04830159978446902
occupation,salesman,12,180,0.8815050660962176,0.7291534235246755,1.060352808286438,0.6764841063186908,0.06906419760004863,3.5,3.5690641976000492,56.333333333333336,-0.03982868713415433
occupation,scientist,31,418,0.8670729819188061,0.7793639879056032,0.9658427577597625,0.6805324883536505,0.025619721007608842,3.5669856459330145,3.592605366940623,52.903225806451616,-0.054260771311565814
occupation,student,196,4436,0.9180928725581352,0.8823806114812859,0.9560459047070602,0.7247896455547871,0.012671643850193228,3.4921100090171326,3.504781652867326,89.39285714285714,-0.0032408806722367123
occupation,technician,27,659,0.8940145693588131,0.8452626205731142,0.9455038161072076,0.716601032346598,-0.0014599851029969877,3.5326251896813354,3.5311652045783375,105.44444444444444,-0.02731918387155885
occupation,writer,45,1073,0.9741257552938966,0.9169430476163034,1.0268540080238984,0.7831145320785363,0.05864615174894909,3.352283317800559,3.410929469549508,99.17777777777778,0.052792002063524635
