param_n_factors,param_n_epochs,param_lr_all,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_test_mae,std_test_mae,mean_fit_time
50,20,0.005,0.9502230598981622,0.00022915532821602677,1,0.7505191241374399,0.001411840979439691,0.2577172915140788
50,40,0.002,0.9512052613107107,0.00024104251837160133,2,0.7519585782065336,0.0010029865062265088,0.49699974060058594
100,20,0.005,0.9534441483507871,0.0002030622843068235,3,0.7535723624754596,0.0015191970873894064,0.4714795748392741
100,40,0.002,0.9543315055863943,0.00017991826315878637,4,0.7548730075155342,0.0013092371958497262,0.911299467086792
50,20,0.002,0.9582029372256543,0.0011231731066602625,5,0.7597357281915554,0.0001740158780391389,0.2800540129343669
100,20,0.002,0.9614157937604557,0.0008433377500738753,6,0.7624244821011902,0.00029192096649739604,0.43228944142659503
50,40,0.005,0.9694514969177828,0.0007046541484207186,7,0.7610171765864765,0.000793874643159379,0.510108470916748
100,40,0.005,0.9702442641735186,0.0005819557643200341,8,0.7646484420940977,0.0011924364933749761,0.8718652725219727
