model,k,threshold,precision_at_k,recall_at_k,users_scored
baseline_only,10.0,4.0,0.5956593536211371,0.2490307264820112,942.0
knn_item,10.0,4.0,0.37146816971657737,0.204402616785723,942.0
svd,10.0,4.0,0.6192397128702861,0.28170539203488965,942.0
svd_tuned,10.0,4.0,0.5962347925723722,0.261447476966979,942.0
