strategy,n_train,n_test,test_share,train_users,train_items,test_ratings_cold_user,test_ratings_cold_item,test_ratings_warm,test_users_unseen_in_train,train_end_utc,test_start_utc,test_ratings_with_future_train_ratings_of_same_item,mean_share_of_item_train_ratings_from_future,model,rmse,mae,rmse_warm_users,rmse_cold_users
random,80000,20000,0.2,943,1652,0,31,19969,0,1998-04-22T23:10:38+00:00,1997-09-20T03:08:02+00:00,0.97995,0.4984274419061825,baseline_only,0.9500460954576447,0.7516333496440278,0.9500460954576447,
random,80000,20000,0.2,943,1652,0,31,19969,0,1998-04-22T23:10:38+00:00,1997-09-20T03:08:02+00:00,0.97995,0.4984274419061825,svd_tuned,0.9213337532303719,0.7290628580040158,0.9213337532303719,
user_chrono,79619,20381,0.20381,943,1613,0,86,20295,0,1998-04-22T23:10:38+00:00,1997-09-20T20:18:15+00:00,0.9443599430842451,0.4132094790111745,baseline_only,0.9981625533769962,0.7946229541521422,0.9981625533769962,
user_chrono,79619,20381,0.20381,943,1613,0,86,20295,0,1998-04-22T23:10:38+00:00,1997-09-20T20:18:15+00:00,0.9443599430842451,0.4132094790111745,svd_tuned,0.9715091250894939,0.7727905057069242,0.9715091250894939,
global_chrono,80000,20000,0.2,751,1616,17048,202,2863,192,1998-03-07T02:21:09+00:00,1998-03-07T02:21:09+00:00,0.0,0.0,baseline_only,1.0299917567528158,0.8213612213348693,1.0006067486575503,1.0349952747332147
global_chrono,80000,20000,0.2,751,1616,17048,202,2863,192,1998-03-07T02:21:09+00:00,1998-03-07T02:21:09+00:00,0.0,0.0,svd_tuned,1.0208103467651612,0.8236920512223138,0.978806564275158,1.0279093207015921
