n,rmse,lo,hi,label
4055,0.9819910758044786,0.0,48.0,0-48
3990,0.9130970060351554,49.0,93.0,49-93
3994,0.9025239104176719,94.0,137.0,94-137
3985,0.8813305921836544,138.0,208.0,138-208
3976,0.923586282359742,209.0,477.0,209-477
